dost
gutka
pyaas
pyaar
dada
baap
beta
behen
bhanja
beti
sahi
phool
bhang
bandh
pasand
karega
raha
karta
maine
kiya
ladki
ladka
nahi
dena
yaad
mujhse
tumhara
aaya
kuttey
aapko
hasil
dhyaan
aapki
umar
kya
mujhe
khaana
aaj
jagah
woh
cheez
toh
uske
baad
hua
har
kisi
ke
milega
matlab
zayada
itna
bada
hai
nai
agar
ek
pagal
hum
dono
tum
bhagwan
kahan
dekhte
kaun
neta
aadat
aakar
accha
aloo
angrez
asli
bachao
bada
badmash
bas
biwi
chakka
chota
dabba
dai
desi
filmi
firang
funda
gora
jaan
jawani
jungli
lathi
masjid
mehenga
mela
mirchi
miya
pukka
sharm
timepass
yaar
jaisa
mera
saala
diya
khol
gaya
khush
apni
bhi
